name,search_category,google_category,city,country,address,phone,rating,reviews,has_website,found_date
Lakaloo´s Bakery & Patisserie KG,bakery,Bakery,Vienna,Austria,,+43 660 9488000 ,4.8,69,No,2026-03-04
Bakery Kern,bakery,Bakery,Graz,Austria,"Mariatroster Str. 93, 8043 Graz, Austria ",+43 316 3221510 ,4.5,954,No,2026-03-04
Bäckerei & Konditorei Orex,bakery,Bakery,Graz,Austria,"Liebenauer Hauptstraße 326, 8041 Graz, Austria ",+385 99 857 7384 ,4.5,133,No,2026-03-04
Dunkelschwarz Bäckerei,bakery,Bakery,Linz,Austria,"Landstraße 38, 4020 Linz, Austria ",,4.9,21,No,2026-03-04
Bäckerei Morina,bakery,Bakery,Linz,Austria,"Franckstraße 25, 4020 Linz, Austria ",+43 732 299001 ,4.9,48,No,2026-03-04
Bäckerei Inpek,bakery,Bakery,Linz,Austria,"Lederergasse, 4020 Linz, Austria ",+43 660 7779192 ,4.5,190,No,2026-03-04
GENUSS by plaimer,bakery,Bakery,Linz,Austria,"Wiener Str. 35, 4020 Linz, Austria ",+43 677 18078523 ,5.0,3,No,2026-03-04
Bäckerei Morina,bakery,Bakery,Linz,Austria,"Franckstraße 25, 4020 Linz, Austria ",+43 732 299001 ,4.9,48,No,2026-03-04
Salz & Zucker Bäckerei,bakery,Bakery,Salzburg,Austria,"Elisabethstraße 6/3-4, 5020 Salzburg, Austria ",,4.9,430,No,2026-03-04
Café Pierre Konditorei Salzburg,bakery,Pastry shop,Salzburg,Austria,"Maxglaner Hauptstraße 1C, 5020 Salzburg, Austria ",+43 660 6532643 ,4.9,231,No,2026-03-04
Balkan Bäckerei,bakery,Bakery,Salzburg,Austria,"Saint-Julien-Straße 2, 5020 Salzburg, Austria ",+43 664 1101856 ,4.4,741,No,2026-03-04
Bäckerei SiegfriedUrsprunger GmbH,bakery,Bakery,Salzburg,Austria,"Gstättengasse 2, 5020 Salzburg, Austria ",+43 662 840528 ,4.8,187,No,2026-03-04
Holztrattner Bakery,bakery,Bakery,Salzburg,Austria,"Brodgasse 9, 5020 Salzburg, Austria ",+43 662 841682 ,4.1,50,No,2026-03-04
Bäckerei Holztrattner,bakery,Bakery,Salzburg,Austria,"Schanzlgasse 8, 5020 Salzburg, Austria ",+43 662 908050 ,4.5,101,No,2026-03-04
karaffu | coffee culture,bakery,Coffee shop,Innsbruck,Austria,"Leopoldstraße 9, 6020 Innsbruck, Austria ",,4.6,"1,320",No,2026-03-04
360° Cafe,bakery,Cafe,Innsbruck,Austria,"Rathaus Galerien, Maria-Theresien-Straße 18, 6020 Innsbruck, Austria ",+43 664 8406570 ,4.5,"1,595",No,2026-03-04
360° Cafe,bakery,Cafe,Innsbruck,Austria,"Rathaus Galerien, Maria-Theresien-Straße 18, 6020 Innsbruck, Austria ",+43 664 8406570 ,4.5,"1,595",No,2026-03-04
Cafe Konditorei Peintner,bakery,Coffee shop,Innsbruck,Austria,"Kranewitterstraße 4, 6020 Innsbruck, Austria ",+43 512 342391 ,4.2,971,No,2026-03-04
BÄCKEREI WALTER,bakery,Bakery,Klagenfurt,Austria,"-Oktober-Straße, 10.-Oktober-Straße 16, 9020 Innere Stadt, Austria ",+43 463 513377 ,4.8,174,No,2026-03-04
"""Meine Backstube Wultsch"" Markus Greiderer",bakery,Bakery,Klagenfurt,Austria,"Völkermarkter Str. 96, 9020 Klagenfurt am Wörthersee, Austria ",+43 676 4532385 ,4.6,190,No,2026-03-04
Bäckerei Arenas,bakery,Bakery,Klagenfurt,Austria,"Kinopl. 6, 9020 Klagenfurt am Wörthersee, Austria ",+43 676 4034563 ,4.5,199,No,2026-03-04
Bäckerei JAKITS,bakery,Bakery,Klagenfurt,Austria,"Ebentaler Str. 225, 9020 Klagenfurt am Wörthersee, Austria ",+43 463 33314 ,4.5,138,No,2026-03-04
Bäckerei Karawanke 2,bakery,Bakery,Klagenfurt,Austria,"Ebentaler Str. 49, 9020 Klagenfurt am Wörthersee, Austria ",+43 664 2111113 ,4.5,487,No,2026-03-04
Rose Cupcake Shop & Café,bakery,Confectionery store,Klagenfurt,Austria,"Südpark 1, 9020 Klagenfurt am Wörthersee, Austria ",+43 660 6575003 ,4.6,85,No,2026-03-04
Bäckerei Karawanke 2,bakery,Bakery,Klagenfurt,Austria,"Ebentaler Str. 49, 9020 Klagenfurt am Wörthersee, Austria ",+43 664 2111113 ,4.5,487,No,2026-03-04
Café Bäckerei Zeppitz,bakery,Bakery,Klagenfurt,Austria,"Südring 221/223, 9020 Klagenfurt am Wörthersee, Austria ",+43 463 220147 ,4.2,49,No,2026-03-04
Kollektiv Kaffee,bakery,Cafe,Klagenfurt,Austria,"Villacher Str. 165, 9020 Klagenfurt am Wörthersee, Austria ",,4.7,36,No,2026-03-04
