name,search_category,google_category,city,country,address,phone,rating,reviews,has_website,found_date,email,facebook,fb_name
Balkan Bäckerei,bakery,Bakery,Salzburg,Austria,"Saint-Julien-Straße 2, 5020 Salzburg, Austria ",+43 664 1101856 ,4.4,741,No,2026-03-04,besijan.thaqi@gmail.com,https://www.facebook.com/balkanbackerei,Balkan Bäckerei 
Friseur Salon Reina,beauty salon,Hairdresser,Graz,Austria,"Griespl. 10, 8020 Graz, Austria ",+43 660 5346770 ,4.4,420,No,2026-03-04,salon-hairdesign@gmx.net,https://www.facebook.com/friseursalon,Hairdesign by Jasmin 
Gentlemen Barber Club,barber shop,Hair salon,Innsbruck,Austria,"Marktgraben 14 Maria Theresien Straße Haltestelle, 6020 Innsbruck, Austria ",+43 670 1837910 ,4.9,314,No,2026-03-04,gillybarber19@gmail.com,https://www.facebook.com/gentlemenbarber,Gilly barber 
Mero Style Salon,barber shop,Barber shop,Linz,Austria,"Bürgerstraße 4, 4020 Linz, Austria ",+43 681 20292902 ,4.8,194,No,2026-03-04,merostyle10@gmail.com,https://www.facebook.com/merostyle,MeroStyle 
Autohaus Greinecker - KIA Wels,motor repair shop,Car dealer,Wels,Austria,"Kieswerkstraße 1, 4623 Gunskirchen, Austria ",+43 7246 8866 ,4.8,186,No,2026-03-04,info@greinecker.at,https://www.facebook.com/autohausgreinecker,Autohaus Greinecker 
Änderungen Schneiderei MANESA,tailor,Tailor,Graz,Austria,"Eckertstraße 79, 8020 Graz, Austria ",+43 681 81211048 ,5.0,176,No,2026-03-04,manfredbuchsbaum@live.at,https://www.facebook.com/anderungenschneiderei,Änderungen Schneiderei 
Gentleman Barber Club,barber shop,Barber shop,Vienna,Austria,"Quellenstraße 98, 1100 Wien, Austria ",+43 660 3228605 ,4.6,174,No,2026-03-04,red-vilanova@hotmail.com,https://www.facebook.com/gentlemanbarberclub,Gentleman Barber club 
Blumen B&B,florist,Flower market,St. Pölten,Austria,"Mariazeller Str. 23, 3100 St. Pölten, Austria ",+43 699 15525029 ,4.5,132,No,2026-03-04,zentrale@blumenbb.at,https://www.facebook.com/blumenbb,Blumen B&B 
Blumenhof Villach,florist,Florist,Villach,Austria,"Purtscherstraße 30, 9500 Villach, Austria ",+43 4242 41616 ,4.6,129,No,2026-03-04,office@blumenhof-villach.at,https://www.facebook.com/blumenhofvillach,Blumenhof Villach 
Empire Barbershop,barber shop,Barber shop,Graz,Austria,"Liebenauer Hauptstraße 9, 8041 Graz, Austria ",+43 665 65169494 ,4.9,113,No,2026-03-04,bigandtall538@gmail.com,https://www.facebook.com/empirebarbershop,Empire  Barbershop 
