name,search_category,google_category,city,country,address,phone,rating,reviews,has_website,found_date
Kings Bakery,bakery,Bakery,London,UK,"143-145 Central St, London EC1V 8AP, United Kingdom",+44 20 7490 1245,4.7,92,No,2026-03-02
Bake Away,bakery,Bakery,Brussels,Belgium,"Rue Léon Lepage 2, 1000 Bruxelles, Belgium",+32 490 19 57 80,4.6,158,No,2026-03-02
Villa Bakery,bakery,Bakery,Barcelona,Spain,"Gran Via de les Corts Catalanes, 662, L 3, Eixample, 08010 Barcelona, Spain",+34 663 86 76 53,4.8,595,No,2026-03-02
Alfama Doce,bakery,Pastries,Lisbon,Portugal,"R. da Regueira 39, 1100-435 Lisboa, Portugal",+351 933 143 460,4.9,"1,933",No,2026-03-02
Fora Artisan Pastry,bakery,Pastries,Lisbon,Portugal,"Calçada de São Vicente 95, 1100-568 Lisboa, Portugal",,4.8,797,No,2026-03-02
Bike Bakery Lisboa,bakery,Bakery,Lisbon,Portugal,"Rua dos Cordoeiros 14, 1200-128 Lisboa, Portugal",+351 937 939 898,4.9,294,No,2026-03-02
The baker of Sardinia,bakery,Bakery,Rome,Italy,"Via delle Carrozze, 85, 00187 Roma RM, Italy",+39 06 8438 2865,4.5,695,No,2026-03-02
The Cake Tree,bakery,Pastries,Vienna,Austria,"Wolfgang-Schmälzl-Gasse 14, 1020 Wien, Austria",,4.7,642,No,2026-03-02
"MATOKA Georgian, Bakery & Coffee ☕🍰",bakery,Bakery,Prague,Czech Republic,"Anglická 1, 120 00 Vinohrady, Czechia",+420 606 721 771,4.7,"2,126",No,2026-03-02
Ianke Pastry,bakery,Patisserie,Bucharest,Romania,"Strada Academiei 23, 010012 București, Romania",+40 741 972 442,4.9,121,No,2026-03-02
Amzei,bakery,Bakery,Bucharest,Romania,"Strada Piața Amzei 10, 030167 București, Romania",,4.5,660,No,2026-03-02
Bakeology Treats (Argentinian Bakery),bakery,Bakery,Dublin,Ireland,"43 Meath St, The Liberties, Dublin, D08 VF76, Ireland",,4.8,892,No,2026-03-02
George Street hand car wash,car wash,Car wash,London,UK,"George St, London W1H 5LG, United Kingdom",,4.5,165,No,2026-03-02
Limehouse hand car wash & detailing centre,car wash,Car wash,London,UK,"571 Butcher Row, London E1W 3EP, United Kingdom",+44 7459 764193,4.5,267,No,2026-03-02
DC Lavage Auto & Moto Paris 16,car wash,Car wash,Paris,France,"ACCÈS PAR LE PARKING INDIGO, 2 Av. de la Prte de Saint-Cloud, 75016 Paris, France",+33 1 81 63 07 55,4.5,47,No,2026-03-02
Hand Carwash,car wash,Car wash,Amsterdam,Netherlands,"Sportpark Kadoelen 4, 1035 NB Amsterdam, Netherlands",+31 6 54260114,3.7,102,No,2026-03-02
super carwash,car wash,Car wash,Brussels,Belgium,"Bd de Nieuport 10, 1000 Bruxelles, Belgium",+32 466 06 38 25,4.4,42,No,2026-03-02
Car Wash,car wash,Car wash,Brussels,Belgium,"Av. de l'Hippodrome 133, 1050 Ixelles, Belgium",+32 465 64 65 76,3.8,104,No,2026-03-02
