name,search_category,google_category,city,country,address,phone,rating,reviews,has_website,found_date,email,facebook,fb_name
"MATOKA Georgian, Bakery & Coffee ☕🍰",bakery,Bakery,Prague,Czech Republic,"Anglická 1, 120 00 Vinohrady, Czechia",+420 606 721 771,4.7,"2,126",No,2026-03-02,matokacheese@gmail.com,https://www.facebook.com/matokageorgian,Matoka Georgian 
Nailss,nail salon,Nail salon,Milan,Italy,"Via Lodovico Montegani, 23, 20141 Milano MI, Italy",+39 331 149 9822,4.8,"1,585",No,2026-03-02,daylaadonay@gmail.com,https://www.facebook.com/nailss,Lucas by studio nails 
Flower Market,florist,Florist,Amsterdam,Netherlands,"Singel 630, 600 Amsterdam, Netherlands",,4.2,"1,672",No,2026-03-02,saharmostafa237@gmail.com,https://www.facebook.com/flowermarket,Gardenia and the Flower Market 
Gloss Nail Salon,nail salon,Nail salon,Bucharest,Romania,Strada Mihail Sebastian 88,,4.8,"1,185",No,2026-03-02,information.gloss@gmail.com,https://www.facebook.com/glossnailsalon,Gloss Nail Salon Pretoria East 
GN STUDIO Nail Art,nail salon,Nail salon,Barcelona,Spain,,,4.9,"1,067",No,2026-03-02,studiokingapaner@gmail.com,https://www.facebook.com/gnstudio,Glam Nail Studio 
The Circle London,tattoo shop,Tattoo shop,London,UK,21 Noel St,+44 20 7734 3499,4.8,828,No,2026-03-02,info@thecirclelondon.com,https://www.facebook.com/thecirclelondon,The Circle 
Smart car wash,car wash,Car wash,Bucharest,Romania,"Strada Buzești 34, 011015 București, Romania",+40 721 700 709,4.3,754,No,2026-03-02,hello@smartcar.com,https://www.facebook.com/smartcar,Smartcar 
Laundry Self Service,laundry service,Laundry service,Rome,Italy,"Via Conte Verde, 20, 00185 Roma RM, Italy",+39 06 8901 1314,4.7,640,No,2026-03-02,jstasis@stasis.com.gr,https://www.facebook.com/laundryselfservice,Laundryroom 
South City Market - Caledonian Road,tattoo shop,,London,UK,,+44 20 8692 9894,4.9,599,No,2026-03-02,info@southcitymarket.com,https://www.facebook.com/southcitymarket,South City Market 
Repair & Coffee,computer repair,Computer repair service,Brussels,Belgium,"Chau. de Charleroi 188, 1060 Saint-Gilles, Belgium",+32 2 538 13 85,4.8,547,No,2026-03-02,repaircoffee@naver.com,https://www.facebook.com/repaircoffee,리페어커피 
