name,search_category,google_category,city,country,address,phone,rating,reviews,has_website,found_date,email
Alfama Doce,bakery,Pastries,Lisbon,Portugal,"R. da Regueira 39, 1100-435 Lisboa, Portugal",+351 933 143 460,4.9,"1,933",No,2026-03-02,writeus@ph.mcd.com
Fora Artisan Pastry,bakery,Pastries,Lisbon,Portugal,"Calçada de São Vicente 95, 1100-568 Lisboa, Portugal",,4.8,797,No,2026-03-02,apoioaocliente@pasteisdebelem.pt; empty-light@2x.png; geral@primefood.pt
Bike Bakery Lisboa,bakery,Bakery,Lisbon,Portugal,"Rua dos Cordoeiros 14, 1200-128 Lisboa, Portugal",+351 937 939 898,4.9,294,No,2026-03-02,contact@popcereal.com; u003einfo@rebelcafelisboa.com; emailcontact@popcereal.com
"MATOKA Georgian, Bakery & Coffee ☕🍰",bakery,Bakery,Prague,Czech Republic,"Anglická 1, 120 00 Vinohrady, Czechia",+420 606 721 771,4.7,"2,126",No,2026-03-02,empty-light@2x.png
Amzei,bakery,Bakery,Bucharest,Romania,"Strada Piața Amzei 10, 030167 București, Romania",,4.5,660,No,2026-03-02,presa@patriarhia.ro; reservation@grandhotelcontinental.ro; office@hotelberthelot.ro
Bakeology Treats (Argentinian Bakery),bakery,Bakery,Dublin,Ireland,"43 Meath St, The Liberties, Dublin, D08 VF76, Ireland",,4.8,892,No,2026-03-02,empty-light@2x.png; aliz@alizswonderland.com
George Street hand car wash,car wash,Car wash,London,UK,"George St, London W1H 5LG, United Kingdom",,4.5,165,No,2026-03-02,customerservice.uk@cac.mercedes-benz.com
DC Lavage Auto & Moto Paris 16,car wash,Car wash,Paris,France,"ACCÈS PAR LE PARKING INDIGO, 2 Av. de la Prte de Saint-Cloud, 75016 Paris, France",+33 1 81 63 07 55,4.5,47,No,2026-03-02,wash@baywash.com.na; orders@baywash.com.na
Hand Carwash,car wash,Car wash,Amsterdam,Netherlands,"Sportpark Kadoelen 4, 1035 NB Amsterdam, Netherlands",+31 6 54260114,3.7,102,No,2026-03-02,info@b2890760as.nl; customerservices@imocarwash.com
super carwash,car wash,Car wash,Brussels,Belgium,"Bd de Nieuport 10, 1000 Bruxelles, Belgium",+32 466 06 38 25,4.4,42,No,2026-03-02,jlai@mistercarwash.com; info@fleet-wash.com; info@acoustical-engineering.be
Car Wash,car wash,Car wash,Brussels,Belgium,"Av. de l'Hippodrome 133, 1050 Ixelles, Belgium",+32 465 64 65 76,3.8,104,No,2026-03-02,news-carwashpro@promedia.nl; info@nwash.be; info@kosecleaning.be
Auto Wash,car wash,Car wash,Lisbon,Portugal,"Parque de Estacionamento, Rua Embaixador Teixeira de Sampaio, Empark Infante Santo nº 1 Piso -2, 1350-401 Lisboa, Portugal",+351 914 184 649,4.8,27,No,2026-03-02,customerservices@imocarwash.com; customerservices@imocarwash.comwit
Mimmo wash,car wash,Car wash,Rome,Italy,"Via Pio Molajoni, 39, 00159 Roma RM, Italy",,4.9,7,No,2026-03-02,master@contur.it; u003einfo@mimmohealth.com; almarico@mimmohealth.com
