name,city,country,email,email_domain,has_custom_domain,domain_status,domain_url,domain_title
"MATOKA Georgian, Bakery & Coffee ☕🍰",Prague,Czech Republic,matokacheese@gmail.com,,no,free_email,,
Nailss,Milan,Italy,daylaadonay@gmail.com,,no,free_email,,
Flower Market,Amsterdam,Netherlands,saharmostafa237@gmail.com,,no,free_email,,
Gloss Nail Salon,Bucharest,Romania,information.gloss@gmail.com,,no,free_email,,
GN STUDIO Nail Art,Barcelona,Spain,studiokingapaner@gmail.com,,no,free_email,,
The Circle London,London,UK,info@thecirclelondon.com,thecirclelondon.com,yes,live,https://thecirclelondon.com,"The Circle London | Tattoos | Piercing | Art | 21 Noel Street, London, UK"
Smart car wash,Bucharest,Romania,hello@smartcar.com,smartcar.com,yes,live,https://smartcar.com,Smartcar · Car API platform for connected vehicle data
Laundry Self Service,Rome,Italy,jstasis@stasis.com.gr,stasis.com.gr,yes,live,https://stasis.com.gr,STASIS &#8211; Commercial Real Estate &amp; Development
South City Market - Caledonian Road,London,UK,info@southcitymarket.com,southcitymarket.com,yes,live,https://southcitymarket.com,Tattoo Studio London (South City Market) - 250+ 5* Reviews
Repair & Coffee,Brussels,Belgium,repaircoffee@naver.com,,no,free_email,,
Service GSM,Bucharest,Romania,costygsm@gmail.com,,no,free_email,,
Bastille Point com,Paris,France,bastillepointcom@gmail.com,,no,free_email,,
Maison RITUAL piercing,Brussels,Belgium,ohlalamaisonbazaar@gmail.com,,no,free_email,,
Environ Pest Control London,London,UK,environpestservices@gmail.com,,no,free_email,,
Lavandaria Self Service Sem Molas,Lisbon,Portugal,carteti@icloud.com,,no,free_email,,
Smartphone Lounge - the walk in repair center,Munich,Germany,info@handywartung.de,handywartung.de,yes,live,http://handywartung.de,
"Llarusa - russian manicure, BIAB, henna brows, threading, facials, peelings, body sculpting massage, Barcelona",Barcelona,Spain,salon.llarusa@gmail.com,,no,free_email,,
Indonesia Culinary Restaurant,Budapest,Hungary,felix.hery@gmail.com,,no,free_email,,
Zoldyck Family GSM,Budapest,Hungary,zoldyck.family@mail.com,,no,free_email,,
"Key cutting Shoemaker, Stamps",Warsaw,Poland,inkanyeziexpress@gmail.com,,no,free_email,,
Quality Cleaners,Amsterdam,Netherlands,marybradley422@gmail.com.com,gmail.com.com,yes,no_site,,
Mobile Shop 4 | Express Reparatur 30min | Europe Internet SIM-Cards/eSIM | Mobile accessories| international Adapter,Vienna,Austria,kurbanmiya1988ka969@gmail.com,,no,free_email,,
Lines Ink Tattoo,Zurich,Switzerland,linesinktattoo@gmail.com,,no,free_email,,
City Pet Grooming,Bucharest,Romania,citypetgrooming@outlook.com,,no,free_email,,
Lavandería | Wash & Lock,Madrid,Spain,burbujas@burbujas.online,burbujas.online,yes,live,https://burbujas.online,LavanderÃ­a Burbujas - Delivery sin cargo! | LavanderÃ­a Burbujas | LavanderÃ­a a domicilio en Dolor
AUTO BROS Valencia,Barcelona,Spain,autobroszimbabwe@gmail.com,,no,free_email,,
Le Bottier Parisien Cordonnerie Progrès Reproduction de clés,Paris,France,rubenshoes1965@gmail.com,,no,free_email,,
Que Bonito Pet!,Brussels,Belgium,m.cueto@live.com,,no,free_email,,
Mobile Expert,Dublin,Ireland,mobileexpert77@gmail.com,,no,free_email,,
Empire Barbershop💈,Brussels,Belgium,bigandtall538@gmail.com,,no,free_email,,
Cleopatra INK Tattoo & Piercing Prague Studio,Prague,Czech Republic,contact@cleopatraink.com,cleopatraink.com,yes,live,https://cleopatraink.com,Explore the Largest Awarded Tattoo Company - Cleopatra Ink
Bio Lavanderia Prati,Rome,Italy,biolavanderia@gmail.com,,no,free_email,,
REFORMAS Handyman Project SL (Manitas Efectivas),Madrid,Spain,info@reformashandyman.net,reformashandyman.net,yes,live,https://reformashandyman.net,Otro sitio realizado con WordPress
3Dadd - Impressão 3D Lisboa,Lisbon,Portugal,geral@3dadd.pt,3dadd.pt,yes,no_site,,
Edilpavimentazioneroma,Rome,Italy,edilpavimentazionesrls@gmail.com,,no,free_email,,
Bg Lavagem Auto,Lisbon,Portugal,bglavagemauto78@gmail.com,,no,free_email,,
Pullman Motors,London,UK,contact@pullmanmotorsengineering.co.uk,pullmanmotorsengineering.co.uk,yes,parked,https://pullmanmotorsengineering.co.uk,Coming Soon
Coko's Catering,Madrid,Spain,info@cokoscatering.com,cokoscatering.com,yes,no_site,,
Peluquería Canina Madrid - Garden Pets,Madrid,Spain,madriddogwash@gmail.com,,no,free_email,,
