name,search_category,google_category,city,address,phone,rating,reviews,has_website,found_date
Al Mukhtar Bakery,bakeshop,Bakery,Sharjah,"G Floor,Al Bustan Tower,Block B Al Etihad Road - Sharjah - United Arab Emirates",+971 6 554 0234,4.4,"5,660",No,2026-03-01
Authentic Baked Goods,bakeshop,Bakery,Ajman,al jurf 2 - 24 St - nearby National School - Al Jerf 2 - Ajman - United Arab Emirates,+971 6 527 1111,4.4,259,No,2026-03-01
AL MUKHTAR BAKERY,bakeshop,Bakery,Ajman,Al Rashidiya 3 - Ajman - United Arab Emirates,+971 6 744 6866,4.3,"1,882",No,2026-03-01
Al Sorour Bakeries - Al Nuaimia Branch,bakeshop,Bakery,Ajman,Al Kuwait Street - Al Nuaimia 1 - Ajman - United Arab Emirates,+971 6 741 1040,4.4,"1,076",No,2026-03-01
Emirates Modern Bakery,bakeshop,,Ras Al Khaimah,Dahan - Ras Al Khaimah - United Arab Emirates,+971 56 878 7817,4.4,631,No,2026-03-01
Al Reem Bakery LLC - RAK - Br1,bakeshop,Bakery,Ras Al Khaimah,Oppsite My City center - Al Wiam St - Al Dhait - Al Dhait South - Ras Al Khaimah - United Arab Emirates,+971 58 509 8995,4.7,19,No,2026-03-01
CakeAlTaybeen - Ras Al Khaimah كيك الطيبين - رأس الخيمة,bakeshop,Cake shop,Ras Al Khaimah,dhan road - Dahan - Ras Al Khaimah - United Arab Emirates,+971 52 152 2557,4.3,64,No,2026-03-01
PAPAS BITE BAKE,bakeshop,Cake shop,Fujairah,opposite higher college of technology of women - Al Faseel - Fujairah - United Arab Emirates,+971 52 301 9251,5.0,28,No,2026-03-01
Sevan Bakery,bakeshop,Bakery,Fujairah,48CQ+M8H - Hamad Bin Abdulla Road - opp. ADCB Bank E89 - Mraisheed - Fujairah - United Arab Emirates,+971 9 223 8448,4.2,397,No,2026-03-01
Taiba pastry restaurant,bakeshop,,Umm Al Quwain,Al Riqqah - Al Dar Al Baidaa - Emirate of Umm Al Quwain - United Arab Emirates,+971 6 766 6713,4.1,211,No,2026-03-01
ARABIAN SAMOOSA BAKERY,bakeshop,Bakery,Umm Al Quwain,GH2G+7P3 - Al Salmah - Al Salamah 1 - Emirate of Umm Al Quwain - United Arab Emirates,+971 56 426 3439,4.2,50,No,2026-03-01
The Bakery House,bakeshop,Cookies,Umm Al Quwain,Altl street - Al Suehat 2 - Emirate of Umm Al Quwain - United Arab Emirates,+971 56 125 3201,4.8,44,No,2026-03-01
Fine Look Car Care,car wash,Car wash,Dubai,9A St - opp. Cars Vehicle testing center - Al Khabeesi - Deira - Dubai - United Arab Emirates,+971 56 962 8626,4.7,"1,734",No,2026-03-01
New Diamond Palace Car Wash,car wash,Car wash,Abu Dhabi,Electra Street - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,+971 50 256 1353,4.5,34,No,2026-03-01
Sharjah Auto Service Centre,car wash,Car wash,Sharjah,Sharjah - United Arab Emirates,+971 50 484 0066,3.9,393,No,2026-03-01
777 Cars Polishing & Washing LLC - SP,car wash,Car wash,Sharjah,A-9 University City Rd - behind Eat & Drink Restaurant - Industrial Areas - Industrial Area - Sharjah - United Arab Emirates,+971 58 582 5777,4.0,170,No,2026-03-01
Al Qassimiya Auto car wash,car wash,Car wash,Sharjah,50 Sheikh Saqr Bin Khalid Al Qasimi St - Al Mahatta - Hay Al Qasimiah - Sharjah - United Arab Emirates,+971 52 846 8337,3.7,115,No,2026-03-01
Zahrat Al Bustan Car wash,car wash,Car wash,Sharjah,behind Al zahra cars washing - Industrial Area 4 - Industrial Area - Sharjah - United Arab Emirates,+971 58 262 3389,4.1,244,No,2026-03-01
Biba Car Wash Service,car wash,Car wash,Sharjah,8CP4+XWP - Sheikh Khalifa Bin Zayed Al Nahyan Rd - Industrial Area 4 - Industrial Area - Sharjah - United Arab Emirates,+971 6 534 0558,4.4,410,No,2026-03-01
TotalEnergies Ajman Beach Car Care Center,car wash,Car wash,Ajman,Sheikh Rashid Bin Humeed St - Al Owan - Al Nakhil 2 - Ajman - United Arab Emirates,+971 50 362 6644,4.0,446,No,2026-03-01
Standard Car Services,car wash,Car wash,Ajman,Gharnatah St - Ajman Industrial 1 - Ajman - United Arab Emirates,+971 56 809 9889,4.1,224,No,2026-03-01
Al Rashidia Car Washing and Accessories,car wash,Car wash,Ajman,9FV7+6Q6 - Al Rashidiya 1 - Ajman - United Arab Emirates,+971 58 559 2155,4.6,10,No,2026-03-01
AL jabal AL aali cars washing and Services الجبل العالي لغسيل وتلميع السيارات,car wash,Car wash,Ajman,الشيخ راشد بن عبدالعزيز - Al Jerf 2 - Ajman - United Arab Emirates,+971 52 180 0891,4.1,42,No,2026-03-01
Profection Car Wash,car wash,,Ras Al Khaimah,Al Dhait - Ras Al Khaimah - United Arab Emirates,+971 50 951 8818,3.7,81,No,2026-03-01
Auto Clean Car Washing,car wash,Car wash,Ras Al Khaimah,Al Araibi - Ras Al Khaimah - United Arab Emirates,+971 50 267 7878,4.5,93,No,2026-03-01
AL GHAWAS WASHING & POLISHING & CAR ACCESSORIES,car wash,Car wash,Ras Al Khaimah,Sheikh Mohammed bin Salem St - Al Dhait - Ras Al Khaimah - United Arab Emirates,+971 50 373 7323,3.7,277,No,2026-03-01
Waless car wash,car wash,,Ras Al Khaimah,Al Dhait - الظيت الجنوبي - Ras Al Khaimah - United Arab Emirates,+971 7 222 8868,4.2,219,No,2026-03-01
اكس ون لغسيل وتلميع السيارات xone washing cars,car wash,Car wash,Ras Al Khaimah,163 Bin Majid St - Al Maireed - Ras Al Khaimah - United Arab Emirates,+971 56 627 1719,3.7,111,No,2026-03-01
APPLE AUTO CARE,car wash,Car detailing service,Fujairah,Airport Road - merashid area - Mraisheed - Fujairah - United Arab Emirates,+971 50 288 6112,5.0,23,No,2026-03-01
Abu soliman car wash Fujairah sakamkam,car wash,,Fujairah,Skamkam - Fujairah - United Arab Emirates,+971 55 320 9066,4.9,71,No,2026-03-01
Alsharq Car Wash & Detailing Services,car wash,Car wash,Fujairah,48XW+RC9 - Al Faseel St - Al Sharyah - Fujairah - United Arab Emirates,+971 54 380 2020,4.3,58,No,2026-03-01
Grace Cars Care,car wash,Car wash,Fujairah,Al Faseel Rd(E99) - Al Sharyah - Fujairah - United Arab Emirates,+971 55 115 2370,4.8,104,No,2026-03-01
Bab Al Rayan car wash and oil change,car wash,Car wash,Fujairah,Fujairah al hail industrial area - Mohamed Bin Zayed City - Fujairah - United Arab Emirates,+971 50 941 2647,5.0,10,No,2026-03-01
Laser car wash,car wash,Car wash,Umm Al Quwain,fish market - Al Bootain - Al Hamrah - Emirate of Umm Al Quwain - United Arab Emirates,+971 50 174 8700,4.6,61,No,2026-03-01
Twaddan Car Wash | تودَّن لغسيل السيارات,car wash,Car wash,Umm Al Quwain,Mktaa St - Al Muqta - Al Muqta 3 - Emirate of Umm Al Quwain - United Arab Emirates,+971 50 320 3243,4.3,9,No,2026-03-01
Emperor Car wash & Polishing,car wash,Car wash,Umm Al Quwain,3 Industerial Area 3 - Umm Al Quwain - United Arab Emirates,+971 55 330 0903,4.7,52,No,2026-03-01
Xtreme car care,car wash,Car wash,Umm Al Quwain,al jeddah ST - Umm Al Quwain - United Arab Emirates,+971 58 677 2258,4.6,61,No,2026-03-01
Grand Car Wash,car wash,Car wash,Umm Al Quwain,HH42+M6M - Al Riqqah - Al Reqqah - Emirate of Umm Al Quwain - United Arab Emirates,+971 50 314 7999,3.7,36,No,2026-03-01
813 car polshing,car wash,Car wash,Umm Al Quwain,Al siraj street - Al Salmah - Al Salamah 1 - Emirate of Umm Al Quwain - United Arab Emirates,+971 56 577 7812,3.8,54,No,2026-03-01
Apex Automobiles Car Repairing &Ac Service,motor repair shop,,Abu Dhabi,Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,+971 56 550 4655,4.8,61,No,2026-03-01
ELECTRO CRAFT Electric motor rewinding and pump repairing centre,motor repair shop,Electric motor repair shop,Sharjah,behind PAN EMIRATES FURNITURE - Industrial Area 4 - Industrial Area - Sharjah - United Arab Emirates,+971 52 864 2322,4.3,16,No,2026-03-01
Al Bayadh Garage,motor repair shop,Auto repair shop,Ajman,44 Amr Ibn El Aas St - opposite to Baithak Restaurant - Industrial area 2 - Ajman - United Arab Emirates,+971 55 119 9065,4.5,465,No,2026-03-01
Master Electrical Engines Repair,motor repair shop,Electric motor repair shop,Ajman,9FRQ+GMX - Amman Road - Ajman Industrial 1 - Ajman - United Arab Emirates,+971 55 746 6189,4.8,6,No,2026-03-01
MOTOR WORLD WORKSHOP -AJMAN,motor repair shop,Car repair and maintenance service,Ajman,9FGG+XVR - Amr Ibn El Aas St - Ajman Industrial 2 - Ajman - United Arab Emirates,,4.8,179,No,2026-03-01
HAFEEZ GARAGE MECHANICAL WORK ELECTRIC REPAIRING DENTING & PAINTING RADIATOR SERVICE AND REPAIR,motor repair shop,Auto repair shop,Ajman,Manama street - near Noor Talal Ajman - New Industrial Area - Ajman - United Arab Emirates,+971 56 837 1081,4.9,126,No,2026-03-01
حمود لصيانة كهرباء و ميكانيكي السيارات Hamoud Auto Electric,motor repair shop,Electric motor repair shop,Ajman,132 Amman Street - Ajman Industrial 1 - Ajman - United Arab Emirates,+971 50 497 9273,3.9,17,No,2026-03-01
Ajman alridaa garage,motor repair shop,Auto repair shop,Ajman,9FJP+9MV - Al Mulla Carpentry Rd - Ajman Industrial 1 - Ajman - United Arab Emirates,+971 52 345 8646,4.8,67,No,2026-03-01
Extreme Motors Garage,motor repair shop,,Ras Al Khaimah,Al Juwais - Ras Al Khaimah - United Arab Emirates,,4.6,45,No,2026-03-01
Alasta Garage Auto Mechanics (Repairing),motor repair shop,Auto repair shop,Ras Al Khaimah,1 84D St - Al Kharan - Ras Al Khaimah - United Arab Emirates,+971 56 331 1310,4.8,28,No,2026-03-01
Al Haram Auto Electrical & AC Repairing,motor repair shop,Auto repair shop,Ras Al Khaimah,1 84D St - Al Kharan - Ras Al Khaimah - United Arab Emirates,+971 50 165 7131,4.9,10,No,2026-03-01
AKTHER A/C REPAIRING MAINTENANCE,motor repair shop,,Fujairah,Al Hail Industrial - Fujairah - United Arab Emirates,+971 56 922 4346,5.0,1,No,2026-03-01
"Fahad Auto garage, car repair shop near fujairah, Tabby, card accepted here. garage near me, ورشة تصليح سيارات الفجيرة",motor repair shop,Auto repair shop,Fujairah,"G, block - opposite cars taxi - Al Hail Industrial - Fujairah - United Arab Emirates",+971 50 763 8335,4.8,90,No,2026-03-01
كراج عمر لاصلاح السيارات umar car repair,motor repair shop,Auto repair shop,Fujairah,Al Hail Industrial - Fujairah - United Arab Emirates,,4.9,18,No,2026-03-01
Al Nayef Car Accessories Car Battery Shop,motor repair shop,Car accessories store,Fujairah,Faham St - Al Mahattah - Fujairah - United Arab Emirates,+971 50 249 9460,5.0,424,No,2026-03-01
كارس لخدمات السيارات - CARS AUTO SERVICE,motor repair shop,Car repair and maintenance service,Umm Al Quwain,أم القيوين، المنطقة الصناعية القديمه - مقابل سوبر ماركت زمزم - Emirate of Umm Al Quwain - United Arab Emirates,+971 52 338 7787,4.2,135,No,2026-03-01
Al Hidayah car accessories,motor repair shop,Auto repair shop,Umm Al Quwain,12 - Emirate of Umm Al Quwain - United Arab Emirates,,5.0,11,No,2026-03-01
Tariq Workshop | Best garage in Umm Al Quwain | Top car repair and service centre Umm Al Quawain | UAE,motor repair shop,Auto repair shop,Umm Al Quwain,FHX3+J2 - Al Muqta - Al Muqta 1 - Emirate of Umm Al Quwain - United Arab Emirates,+971 56 204 9871,3.9,56,No,2026-03-01
Zinq Garage,motor repair shop,Auto repair shop,Umm Al Quwain,Al Kharj Street - Al Muqta - Al Muqta 1 - Emirate of Umm Al Quwain - United Arab Emirates,+971 58 538 0013,4.7,314,No,2026-03-01
Hi-Tec Motors,motor repair shop,Auto body shop,Umm Al Quwain,GH23+55Q - Al Muqta - Al Muqta 1 - Emirate of Umm Al Quwain - United Arab Emirates,+971 6 766 3063,4.3,11,No,2026-03-01
"3dmanzil - 3d printing, 3d scanning and scale model making company in dubai",3d printing service,,Dubai,4653+JM - Office#302 - behind Carlton Hotel - Al Barsha First - Al Barsha - Dubai - United Arab Emirates,,4.1,27,No,2026-03-01
3D PRINTDXB,3d printing service,,Sharjah,,+971 50 909 9515,5.0,4,No,2026-03-01
"Noor Al Ayn Graphics | Sharjah, UAE",3d printing service,Print shop,Sharjah,Umm Tarafa St - Al Ghuwair - Hay Al Gharb - Sharjah - United Arab Emirates,+971 52 867 3557,4.8,20,No,2026-03-01
