name,search_category,google_category,city,address,phone,email,rating,reviews,has_website,found_date
AL MUKHTAR BAKERY,bakeshop,Bakery,Ajman,Al Rashidiya 3 - Ajman - United Arab Emirates,+971 6 744 6866,info@almukhtarbakery.com,4.3,"1,882",No,2026-03-01
Al Sorour Bakeries - Al Nuaimia Branch,bakeshop,Bakery,Ajman,Al Kuwait Street - Al Nuaimia 1 - Ajman - United Arab Emirates,+971 6 741 1040,info@alsorour.ae,4.4,"1,076",No,2026-03-01
Emirates Modern Bakery,bakeshop,,Ras Al Khaimah,Dahan - Ras Al Khaimah - United Arab Emirates,+971 56 878 7817,Thzachjoseph@rakbank.co.aeRead,4.4,631,No,2026-03-01
PAPAS BITE BAKE,bakeshop,Cake shop,Fujairah,opposite higher college of technology of women - Al Faseel - Fujairah - United Arab Emirates,+971 52 301 9251,mail@egov.fujairah.ae,5.0,28,No,2026-03-01
Taiba pastry restaurant,bakeshop,,Umm Al Quwain,Al Riqqah - Al Dar Al Baidaa - Emirate of Umm Al Quwain - United Arab Emirates,+971 6 766 6713,info@taibapastry.online,4.1,211,No,2026-03-01
ARABIAN SAMOOSA BAKERY,bakeshop,Bakery,Umm Al Quwain,GH2G+7P3 - Al Salmah - Al Salamah 1 - Emirate of Umm Al Quwain - United Arab Emirates,+971 56 426 3439,info@royalfi.com,4.2,50,No,2026-03-01
The Bakery House,bakeshop,Cookies,Umm Al Quwain,Altl street - Al Suehat 2 - Emirate of Umm Al Quwain - United Arab Emirates,+971 56 125 3201,info@nexonpli.com,4.8,44,No,2026-03-01
Fine Look Car Care,car wash,Car wash,Dubai,9A St - opp. Cars Vehicle testing center - Al Khabeesi - Deira - Dubai - United Arab Emirates,+971 56 962 8626,services@finelookcarcare.com,4.7,"1,734",No,2026-03-01
New Diamond Palace Car Wash,car wash,Car wash,Abu Dhabi,Electra Street - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,+971 50 256 1353,info@pinascargo.com,4.5,34,No,2026-03-01
Sharjah Auto Service Centre,car wash,Car wash,Sharjah,Sharjah - United Arab Emirates,+971 50 484 0066,autocare@dhanyagroup.com,3.9,393,No,2026-03-01
Al Qassimiya Auto car wash,car wash,Car wash,Sharjah,50 Sheikh Saqr Bin Khalid Al Qasimi St - Al Mahatta - Hay Al Qasimiah - Sharjah - United Arab Emirates,+971 52 846 8337,dubai@zeezgroup.com,3.7,115,No,2026-03-01
