name,search_category,google_category,city,address,phone,email,rating,reviews,has_website,found_date
AL MUKHTAR BAKERY,bakeshop,Bakery,Ajman,Al Rashidiya 3 - Ajman - United Arab Emirates,+971 6 744 6866,info@almukhtarbakery.com,4.3,"1,882",No,2026-03-01
PAPAS BITE BAKE,bakeshop,Cake shop,Fujairah,opposite higher college of technology of women - Al Faseel - Fujairah - United Arab Emirates,+971 52 301 9251,mail@egov.fujairah.ae,5.0,28,No,2026-03-01
Taiba pastry restaurant,bakeshop,,Umm Al Quwain,Al Riqqah - Al Dar Al Baidaa - Emirate of Umm Al Quwain - United Arab Emirates,+971 6 766 6713,info@taibapastry.online,4.1,211,No,2026-03-01
Sharjah Auto Service Centre,car wash,Car wash,Sharjah,Sharjah - United Arab Emirates,+971 50 484 0066,autocare@dhanyagroup.com,3.9,393,No,2026-03-01
ELECTRO CRAFT Electric motor rewinding and pump repairing centre,motor repair shop,Electric motor repair shop,Sharjah,behind PAN EMIRATES FURNITURE - Industrial Area 4 - Industrial Area - Sharjah - United Arab Emirates,+971 52 864 2322,Ecraft@emirates.net.ae,4.3,16,No,2026-03-01
"3dmanzil - 3d printing, 3d scanning and scale model making company in dubai",3d printing service,,Dubai,4653+JM - Office#302 - behind Carlton Hotel - Al Barsha First - Al Barsha - Dubai - United Arab Emirates,,info@3dmanzil.com,4.1,27,No,2026-03-01
Fujairah National Printing Press,3d printing service,Digital printing service,Fujairah,48MM+W6R - شارع محمد بن مطر - Madab - Fujairah - United Arab Emirates,+971 9 222 3388,Fujpress@emirates.net.ae,3.8,16,No,2026-03-01
National Auto - Fiat & Abarth Showroom,abarth dealer,Car dealer,Dubai,City walk - Happiness St - Al Wasl - Dubai - United Arab Emirates,+971 800 3428,Namarketing@alghandi.com,4.4,237,No,2026-03-01
AL MUNER TEXTILE AND TRADING LLC,abbey,Abbey,Dubai,18 - 17 18th St - Ayal Nasir - Deira - Dubai - United Arab Emirates,+971 50 345 6271,almuneer@emirates.net.ae,4.5,4,No,2026-03-01
Matrix Accounting &Tax Consulting,accountant,Tax consultant,Ras Al Khaimah,Al salhya building - Office 201 - Khuzam Rd - Al Juwais - Ras Al Khaimah - United Arab Emirates,+971 55 855 8592,info@matrix-acc.com,5.0,28,No,2026-03-01
Sansaya Clinic Umm Al Quwain,acupuncture clinic,Medical clinic,Umm Al Quwain,HH36+79H Imar Spa - Al Khor street - Al Khor - Al Khour 1 - Emirate of Umm Al Quwain - United Arab Emirates,+971 6 766 5880,info@sansayaclinic.com,4.5,2,No,2026-03-01
Umm Al-Quwain Medical Center,acupuncture clinic,Dental clinic,Umm Al Quwain,GGJR+F23 - Shk. Rashid Bin Saeed Al Maktoum St. - Al Bootain - الحمرة - ٢ - Emirate of Umm Al Quwain - United Arab Emirates,+971 6 766 5119,info@ehs.gov.ae,3.7,18,No,2026-03-01
Ashweb Solution,advertising agency,Internet marketing service,Fujairah,Creative Tower - Hamad Bin Abdulla Road - Fujairah City Center - Fujairah - United Arab Emirates,+971 55 599 8784,info@ashweb.co,5.0,10,No,2026-03-01
Tek Studio,aerial photographer,Photography studio,Sharjah,Sheikh Saqr Bin Khalid Al Qasimi St - Al Manakh - Hay Al Qasimiah - Sharjah - United Arab Emirates,+971 6 567 3961,tec2000@emirates.net.ae,4.6,110,No,2026-03-01
Chop House Restaurant,african restaurant,African,Dubai,K2 - Cluster K - Al Thanyah Fifth - Jumeirah Lakes Towers - Dubai - United Arab Emirates,+971 52 725 4297,contact@chophouse.ae,4.6,316,No,2026-03-01
Africana Home Restaurant Gold Land,african restaurant,African,Dubai,Al Khor Street - 12 Al Daghaya St - behind Gold Land Building - Dubai - United Arab Emirates,+971 4 225 8899,Info@africanahome.ae,4.2,358,No,2026-03-01
Prestige Home Health Care Services,aged care,Home health care service,Abu Dhabi,Naser Al Junaibi Building - Unit 403 - المَصَايِد - Abu Dhabi - United Arab Emirates,+971 2 666 1517,info@prestigehomecare.ae,5.0,2,No,2026-03-01
Premium Tobacco,aged care,Assisted living facility,Ras Al Khaimah,MQRM+Q4H - Al Jazeera Al Hamra-Qaryat Al Hamra - Ras Al Khaimah - United Arab Emirates,+971 56 390 8226,compliance@premiumtobacco.biz,,,No,2026-03-01
Sajid Mahmoud Air Conditioner Repair Dubai,air conditioning contractor,Air conditioning contractor,Sharjah,53 Industrial Area 3 - Industrial Area - Sharjah - United Arab Emirates,+971 50 300 3203,Sm@theacservices.com,4.8,65,No,2026-03-01
"AL SAHEL Repair & Maintenance AC & Central Air Refining, Ltd",air conditioning contractor,Air conditioning repair service,Ajman,76 Thabit Bin Qais Street - 2 Al Nuaimia - Ajman - United Arab Emirates,+971 56 247 5707,alsahel2@emirates.net.ae,4.9,394,No,2026-03-01
Majestic electromechanical,air conditioning contractor,Air conditioning contractor,Fujairah,Unnamed Road - Fujairah - United Arab Emirates,+971 55 850 6116,info@majesticelectical.com,4.9,16,No,2026-03-01
Zenith Advanced Cleaning Solutions,air duct cleaning service,Air duct cleaning service,Ajman,AL JURF - Warehouse No.10 - Ajman - United Arab Emirates,+971 6 527 8893,Info@zenithacs.com,5.0,1,No,2026-03-01
Abu Sultan General Cleaning Services LLC,air duct cleaning service,Air duct cleaning service,Ras Al Khaimah,"Sheikh Mohammed Bin Salem Road, Near Clock Roundabout, Dahan - Ras Al Khaimah - United Arab Emirates",+971 50 371 0725,abusultn@emirates.net.ae,4.4,30,No,2026-03-01
Fujairah National Air Travel Agency,airline ticket agency,Travel agency,Fujairah,Road - Al Faseel - Fujairah - United Arab Emirates,+971 9 222 2316,Fnatafjr@emirates.net.ae,3.8,27,No,2026-03-01
"Bynuna Military & Hunting Equipment Trading LLC Showroom, Al Ain",airsoft supply shop,Outdoor sports store,Abu Dhabi,"Hassa Bint Muhammad St., (Near Al Hilal Bank) Al Ain City - Abu Dhabi - United Arab Emirates",+971 3 768 0300,javed@bynuna.ae,4.6,54,No,2026-03-01
